method,model,question_index,score,max_score,issue_type,file,question_preview
self_consistency_essay_n3,gpt-4.1-nano,6,8,4,"OVER MAX (score: 8, max: 4)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Using the Grinold-Kroner Model, calculate the expected equity market returns of Island Nation 1.
(Sh..."
self_consistency_essay_n3,gpt-4.1-nano,7,9,3,"OVER MAX (score: 9, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Discuss the purchasing power parity theory's ability to forecast long-term and short-term movements ...
self_consistency_essay_n3,gpt-4.1-nano,8,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Identify which hedge fund strategy Leon should view as least suitable for meeting Rhino's Investment...
self_consistency_essay_n3,gpt-4.1-nano,9,9,3,"OVER MAX (score: 9, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Identify which hedge fund strategy Leon should view as most suitable for meeting Rhino's Investment ...
self_consistency_essay_n3,gpt-4.1-nano,10,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"In a subsequent meeting with Rhino's Investment Committee, Leon presents her recommendation regardin..."
self_consistency_essay_n3,gpt-4.1-nano,11,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"|  Discuss three key risks associated with investing in distressed debt, particularly in the context..."
self_consistency_essay_n3,gpt-4.1-nano,12,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Explain the process of a distressed debt exchange and its benefits to both the issuer and the invest...
self_consistency_essay_n3,gpt-4.1-nano,13,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Discuss three key issues in the due diligence process in special situations of investing, particular..."
self_consistency_essay_n3,gpt-4.1-nano,14,9,3,"OVER MAX (score: 9, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Analyze three potential positive outcomes for Riverstone Capital if they successfully restructure St...
self_consistency_essay_n3,gpt-4.1-nano,15,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Assuming the models are correct, indicate whether Rashid and his team should most likely increase po..."
self_consistency_essay_n3,gpt-4.1-nano,16,8,4,"OVER MAX (score: 8, max: 4)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,In response to Ibrahim's comment to his supervisor about portfolio structures during a flattening yi...
self_consistency_essay_n3,gpt-4.1-nano,17,7,4,"OVER MAX (score: 7, max: 4)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,# Calculate the convexity of the Israeli Government bonds.
self_consistency_essay_n3,gpt-4.1-nano,18,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Based on a proposed base fee of $0.25 \%$ and performance sharing of $16 \%$ with a maximum annual f...
self_consistency_essay_n3,gpt-4.1-nano,19,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"If a hedge fund managed by OAM earns an active return of $2.75 \%$, calculate the performance-based ..."
self_consistency_essay_n3,gpt-4.1-nano,20,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Given a new symmetrical fee structure, explain how OAM's management might adjust their strategy to b..."
self_consistency_essay_n3,gpt-4.1-nano,21,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Analyze the potential impact of including a high-water mark and maximum fee cap in the fee schedule,..."
self_consistency_essay_n3,gpt-4.1-nano,22,8,5,"OVER MAX (score: 8, max: 5)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,State the trading algorithm most likely described by Yuan.
self_consistency_essay_n3,gpt-4.1-nano,23,8,5,"OVER MAX (score: 8, max: 5)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Next, Fox meets with Jared DeLeto, a Senior Analyst at the firm. DeLeto mentions he graduated from t..."
self_consistency_essay_n3,gpt-4.1-nano,24,8,4,"OVER MAX (score: 8, max: 4)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Next, Fox is shown to the office of Mae Figueroa, the firm's head trader, with whom he will lunch du..."
self_consistency_essay_n3,gpt-4.1-nano,25,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Finally, Fox meets with the firm's charismatic founder and CEO, Lance Cannon. Cannon describes that ..."
self_consistency_essay_n3,gpt-4.1-nano,26,9,7,"OVER MAX (score: 9, max: 7)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Choose whether the investor should be long or short a forward contract for the grain trade. Describe...
self_consistency_essay_n3,gpt-4.1-nano,27,9,3,"OVER MAX (score: 9, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Next, Theun meets with his supervisor and mentee to discuss the portfolio of a wealthy individual cl..."
self_consistency_essay_n3,gpt-4.1-nano,28,8,4,"OVER MAX (score: 8, max: 4)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Theun has discussed the strategy above with his supervisor, and they agree that with the current bev..."
self_consistency_essay_n3,gpt-4.1-nano,29,8,4,"OVER MAX (score: 8, max: 4)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Next, Theun meets with Valdomir Etov, a client tasked the firm with trading a high-leverage account...."
self_consistency_essay_n3,gpt-4.1-nano,30,7,4,"OVER MAX (score: 7, max: 4)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Finally, Theun looks at the Clear Lake Regional Network (ticker: CLRN) October 20XX $\$ 23$ call opt..."
self_consistency_essay_n3,gpt-4.1-nano,31,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"State whether you agree or disagree with each statement made by the supervisor. If you disagree, jus..."
self_consistency_essay_n3,gpt-4.1-nano,32,9,3,"OVER MAX (score: 9, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"| Firm | Harvison and Marwick, PLLC |
| :-- | :-- |
| Composite | North American Precious Metals |
|..."
self_consistency_essay_n3,gpt-4.1-nano,33,8,4,"OVER MAX (score: 8, max: 4)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Wilkerson's supervisor gives her a partial year accounting of the cash flows and composite values of...
self_consistency_essay_n3,gpt-4.1-nano,34,9,4,"OVER MAX (score: 9, max: 4)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Finally, Wilkerson gets her first chance to give her input on a live project the firm is working on...."
self_consistency_essay_n3,gpt-4.1-nano,35,9,3,"OVER MAX (score: 9, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Calculate the Distributed to Paid-In (DPI) multiple for Apex Capital's private equity fund at the en...
self_consistency_essay_n3,gpt-4.1-nano,36,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Calculate the Residual Value to Paid-In (RVPI) multiple for Apex Capital's private equity fund at th...
self_consistency_essay_n3,gpt-4.1-nano,37,10,3,"OVER MAX (score: 10, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Calculate the Total Value to Paid-In (TVPI) multiple for Apex Capital's private equity fund at the e...
self_consistency_essay_n3,gpt-4.1-nano,38,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Calculate the amount of carried interest Apex Capital would earn at the end of year 10.
self_consistency_essay_n3,gpt-4.1-nano,39,7,3,"OVER MAX (score: 7, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Identify and discuss the critical challenges faced by the Patel family due to their multijurisdictio...
self_consistency_essay_n3,gpt-4.1-nano,40,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Recommend strategies for managing the Patel family's investments considering their multijurisdiction...
self_consistency_essay_n3,gpt-4.1-nano,41,9,3,"OVER MAX (score: 9, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,"Explain one benefit, one potential drawback, and a long-term consideration of renouncing citizenship..."
self_consistency_essay_n3,gpt-4.1-nano,42,8,3,"OVER MAX (score: 8, max: 3)",results/self_consistency_essay_n3/evaluated_results_gpt-4.1-nano__self_consistency_essay_n3.json,Evaluate the role of double taxation treaties in the Patel family's financial planning.
self_consistency_essay_n3,deepseek-r1,0,8,6,"OVER MAX (score: 8, max: 6)",results/self_consistency_essay_n3/evaluated_results_deepseek-r1__self_consistency_essay_n3.json,Calculate the annualized post-liquidation return over the 5 years for the Nilsson portfolio.
self_consistency_essay_n3,deepseek-r1,1,10,2,"OVER MAX (score: 10, max: 2)",results/self_consistency_essay_n3/evaluated_results_deepseek-r1__self_consistency_essay_n3.json,"The Nilssons are happy to see the work done by Klinberg, and at their next meeting, they discuss the..."
self_consistency_essay_n3,deepseek-r1,2,9,2,"OVER MAX (score: 9, max: 2)",results/self_consistency_essay_n3/evaluated_results_deepseek-r1__self_consistency_essay_n3.json,Klingberg knows that his clients are tax-sensitive investors and wants to show that he is doing ever...
